UNIQUE_ID,RES,TILEH,TILEV,COL,ROW,LAT,LON,ISO3,PERC_TREE_COVER,ADM_REGION,ECO_REGION,MATT_HANSEN_DEFOR,PROBABILITY,DATE
500_0021_0008_1351_2378,500,21,8,1351,2378,0.08958333333332051,35.63129355225803,KEN,70,18974,30108,0,90,8/13/2006
500_0021_0008_1351_2378,500,21,8,1351,2378,0.08958333333332051,35.63129355225803,KEN,70,18974,30108,0,90,8/29/2006
500_0021_0008_1351_2378,500,21,8,1351,2378,0.08958333333332051,35.63129355225803,KEN,70,18974,30108,0,90,9/14/2006
500_0021_0008_1351_2378,500,21,8,1351,2378,0.08958333333332051,35.63129355225803,KEN,70,18974,30108,0,90,9/30/2006
500_0021_0008_1351_2378,500,21,8,1351,2378,0.08958333333332051,35.63129355225803,KEN,70,18974,30108,0,90,10/16/2006
500_0021_0008_1351_2378,500,21,8,1351,2378,0.08958333333332051,35.63129355225803,KEN,70,18974,30108,0,90,11/1/2006
500_0021_0008_1351_2378,500,21,8,1351,2378,0.08958333333332051,35.63129355225803,KEN,70,18974,30108,0,90,11/17/2006
500_0021_0008_1351_2378,500,21,8,1351,2378,0.08958333333332051,35.63129355225803,KEN,70,18974,30108,0,90,12/3/2006
500_0021_0008_1351_2378,500,21,8,1351,2378,0.08958333333332051,35.63129355225803,KEN,70,18974,30108,0,90,12/19/2006
500_0021_0008_1351_2378,500,21,8,1351,2378,0.08958333333332051,35.63129355225803,KEN,70,18974,30108,0,90,1/1/2007
500_0021_0008_1351_2378,500,21,8,1351,2378,0.08958333333332051,35.63129355225803,KEN,70,18974,30108,0,91,1/17/2007
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,12/19/2005
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,1/1/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,1/17/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,2/2/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,2/18/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,3/6/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,3/22/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,4/7/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,4/23/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,5/9/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,5/25/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,6/10/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,6/26/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,7/12/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,7/28/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,8/13/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,8/29/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,9/14/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,9/30/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,10/16/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,11/1/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,11/17/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,12/3/2006
